symbol,session_date,bars,first_bar,last_bar,open,close,volume,valid_for_scanner
MSTR,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,93.25,97.66,13033383.0,True
MU,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,1000.0,1012.03,21453192.0,True
NVDA,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,226.01,225.07,52663983.0,True
PLTR,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,174.06,172.56,14442238.0,True
QQQ,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,732.93,729.85,18509595.0,True
SMCI,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,39.31,38.27,40770918.0,True
SPY,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,776.16,772.68,23623771.0,True
TSLA,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,340.78,339.3,19327543.0,True
TSM,2026-08-17,26,2026-08-17 09:30:00-04:00,2026-08-17 15:45:00-04:00,430.55,430.95,5322683.0,True
AAPL,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,307.58,310.21,28018977.0,True
AMD,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,487.56,484.67,11720516.0,True
AMZN,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,260.67,259.48,16865665.0,True
ARM,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,257.07,253.53,3525433.0,True
AVGO,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,384.16,380.0,12164526.0,True
COIN,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,147.79,146.26,4229881.0,True
GOOGL,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,342.56,344.03,10593373.0,True
IWM,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,302.44,300.24,13598872.0,True
JPM,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,362.34,363.25,3093431.0,True
META,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,557.48,543.67,17587336.0,True
MRVL,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,220.5,216.03,13224511.0,True
MSTR,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,95.84,92.55,10330648.0,True
MU,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,957.1,941.5,22392757.0,True
NVDA,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,220.31,219.8,58199985.0,True
PLTR,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,171.98,171.59,16649371.0,True
QQQ,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,720.22,717.61,31669232.0,True
SMCI,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,37.1,37.41,37860574.0,True
SPY,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,768.68,767.4,26095832.0,True
TSLA,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,333.14,336.84,20570110.0,True
TSM,2026-08-18,26,2026-08-18 09:30:00-04:00,2026-08-18 15:45:00-04:00,417.0,413.43,8076755.0,True
AAPL,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,310.14,316.86,28432669.0,True
AMD,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,486.08,466.81,9975460.0,True
AMZN,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,261.03,265.89,19601763.0,True
ARM,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,255.94,249.55,1879339.0,True
AVGO,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,371.47,362.53,20901267.0,True
COIN,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,147.5,160.32,9978700.0,True
GOOGL,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,342.54,344.78,10077544.0,True
IWM,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,302.9,301.73,10835500.0,True
JPM,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,363.01,357.31,3807684.0,True
META,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,541.41,546.19,10320364.0,True
MRVL,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,240.13,237.35,23591439.0,True
MSTR,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,94.54,104.21,32082605.0,True
MU,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,959.47,937.3,16662767.0,True
NVDA,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,221.78,217.65,53609560.0,True
PLTR,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,172.79,175.19,20118286.0,True
QQQ,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,720.39,716.13,24289279.0,True
SMCI,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,37.14,36.57,27065293.0,True
SPY,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,770.35,769.08,24740401.0,True
TSLA,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,338.88,351.12,27932291.0,True
TSM,2026-08-19,26,2026-08-19 09:30:00-04:00,2026-08-19 15:45:00-04:00,418.92,412.28,5070072.0,True
AAPL,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,317.46,311.3,20155307.0,True
AMD,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,466.01,469.54,8607888.0,True
AMZN,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,263.16,260.18,15413731.0,True
ARM,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,246.41,250.84,1315655.0,True
AVGO,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,364.67,364.22,10545871.0,True
COIN,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,172.87,172.44,10555529.0,True
GOOGL,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,343.13,340.62,9766745.0,True
IWM,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,299.27,297.68,15276679.0,True
JPM,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,357.6,352.04,3212067.0,True
META,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,546.61,545.88,7858457.0,True
MRVL,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,237.96,251.09,17542860.0,True
MSTR,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,113.23,112.29,29046721.0,True
MU,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,935.02,974.04,17356647.0,True
NVDA,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,218.39,216.99,49177001.0,True
PLTR,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,175.91,173.93,14088135.0,True
QQQ,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,712.09,711.0,22122722.0,True
SMCI,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,36.89,36.49,39004719.0,True
SPY,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,765.93,762.62,31738851.0,True
TSLA,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,346.21,345.28,21779341.0,True
TSM,2026-08-20,26,2026-08-20 09:30:00-04:00,2026-08-20 15:45:00-04:00,408.6,416.15,4619803.0,True
AAPL,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,312.02,309.42,22268410.0,True
AMD,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,477.18,473.21,7466041.0,True
AMZN,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,260.57,258.64,22353527.0,True
ARM,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,253.46,243.42,1867939.0,True
AVGO,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,370.83,368.45,11127042.0,True
COIN,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,180.02,186.58,12996354.0,True
GOOGL,2026-08-21,26,2026-08-21 09:30:00-04:00,2026-08-21 15:45:00-04:00,342.6,344.9,10950309.0,True
